image_name,participant_id,correct
n02690373_10723,1,1
n03344393_6713,1,1
n02951358_31181,1,0
n03792782_65779,1,0
n04111531_807,1,0
n02504458_7966,1,0
n04111531_22466,1,0
n03662601_8778,1,0
n03417042_7682,1,0
n04505470_1157,1,0
n04467665_67327,1,1
n03937543_3726,1,0
n04612504_6380,1,1
n03417042_9480,1,1
n03041632_12651,1,1
n02124075_379,1,1
n03937543_2507,1,1
n02133161_1427,1,0
n02132136_20607,1,0
n03344393_5184,1,1
n03100240_17417,1,0
n04111531_887,1,0
n03041632_5640,1,1
n03376595_9536,1,0
n02123159_5993,1,0
n02708093_404,1,1
n03344393_4294,1,1
n01601694_10499,1,0
n03041632_12949,1,1
n04111531_3671,1,1
n02504458_5190,1,1
n02823428_1491,1,1
n02009229_2294,1,1
n03662601_12995,1,0
n02708093_1675,1,0
n02123394_6265,1,0
n04505470_4684,1,0
n02113624_4001,1,0
n03085013_6986,1,0
n02097658_1316,1,1
n04505470_1551,1,1
n02106662_50313,1,0
n02791124_6463,1,0
n02091032_7280,6,1
n04099969_9194,6,0
n02791124_525,6,0
n03662601_27025,6,1
n04548280_9801,6,1
n04429376_54570,6,0
n01798484_5988,6,0
n04111531_4868,6,1
n03196217_7414,6,0
n03100240_6822,6,1
n03792782_4927,6,1
n02134084_23292,6,0
n03792782_9635,6,1
n02690373_2232,6,0
n02951358_6637,6,1
n02504013_2974,6,1
n04273569_5276,6,1
n02814533_88088,6,1
n02814533_42481,6,1
n02106662_18900,6,1
n02708093_107,6,1
n03983396_21920,6,0
n03100240_17587,6,1
n03041632_4269,6,1
n02951358_8041,6,1
n02791124_7824,6,1
n03100240_9761,6,1
n03344393_8374,6,0
n03085013_11685,6,1
n03344393_732,6,1
n04591713_2052,6,0
n02092339_7356,6,1
n02102480_10156,6,0
n03085013_20805,6,1
n04111531_5643,6,0
n02690373_12044,6,1
n04111531_12450,6,0
n03041632_48062,6,0
n02835271_10414,6,1
n03041632_50332,6,1
n02504013_3861,6,1
n02504013_10346,6,1
n03417042_4664,6,1
n04467665_70988,6,1
n02123159_5945,6,1
n01592084_2422,6,0
n02123159_4952,6,1
n03344393_3978,6,1
n04111531_3063,6,1
n03417042_22297,6,1
n03041632_4590,6,1
n02835271_15691,6,1
n03041632_22286,6,1
n01795545_9555,6,1
n02690373_243,4,1
n03792782_35669,4,0
n02504013_6865,4,0
n02133161_18639,4,0
n02111500_4875,4,0
n03796401_18139,4,0
n02133161_2756,4,0
n02690373_18845,4,1
n04273569_3598,4,0
